slide_id,n_regiones,level0_w,level0_h,regiones_json
118925,2,52059,107520,"[{""i"":0,""x"":0,""y"":0,""w"":48640,""h"":7680},{""i"":1,""x"":1280,""y"":67840,""w"":47360,""h"":39680}]"
119414,2,37306,47360,"[{""i"":0,""x"":0,""y"":25600,""w"":20480,""h"":21760},{""i"":1,""x"":1280,""y"":0,""w"":20480,""h"":20480}]"
120063,2,53342,55040,"[{""i"":0,""x"":0,""y"":0,""w"":30720,""h"":29440},{""i"":1,""x"":25600,""y"":30720,""w"":25600,""h"":24320}]"
120361,2,45481,43520,"[{""i"":0,""x"":0,""y"":20480,""w"":23040,""h"":23040},{""i"":1,""x"":1280,""y"":0,""w"":25600,""h"":20480}]"
128291,2,39358,44800,"[{""i"":0,""x"":0,""y"":0,""w"":21760,""h"":19200},{""i"":1,""x"":0,""y"":24320,""w"":21760,""h"":20480}]"
128605,2,43257,52480,"[{""i"":0,""x"":0,""y"":26880,""w"":28160,""h"":25600},{""i"":1,""x"":1280,""y"":0,""w"":29440,""h"":24320}]"
128696,2,50327,57600,"[{""i"":0,""x"":0,""y"":0,""w"":32000,""h"":28160},{""i"":1,""x"":0,""y"":28160,""w"":32000,""h"":29440}]"
128771,2,50790,62720,"[{""i"":0,""x"":2560,""y"":34560,""w"":32000,""h"":28160},{""i"":1,""x"":0,""y"":0,""w"":30720,""h"":26880}]"
128774-2,2,28153,72960,"[{""i"":0,""x"":0,""y"":0,""w"":25600,""h"":26880},{""i"":1,""x"":1280,""y"":43520,""w"":21760,""h"":29440}]"
129440,2,53567,89600,"[{""i"":0,""x"":0,""y"":0,""w"":47360,""h"":40960},{""i"":1,""x"":0,""y"":47360,""w"":49920,""h"":42240}]"
129500,2,51270,85760,"[{""i"":0,""x"":0,""y"":48640,""w"":43520,""h"":37120},{""i"":1,""x"":1280,""y"":0,""w"":42240,""h"":35840}]"
129741,2,39669,80640,"[{""i"":0,""x"":0,""y"":0,""w"":35840,""h"":30720},{""i"":1,""x"":0,""y"":49920,""w"":34560,""h"":30720}]"
129743,2,53420,107520,"[{""i"":0,""x"":0,""y"":0,""w"":46080,""h"":52480},{""i"":1,""x"":0,""y"":60160,""w"":42240,""h"":47360}]"
129749,2,47928,80640,"[{""i"":0,""x"":0,""y"":44800,""w"":37120,""h"":35840},{""i"":1,""x"":1280,""y"":0,""w"":37120,""h"":37120}]"
130301,2,43391,53760,"[{""i"":0,""x"":0,""y"":0,""w"":29440,""h"":25600},{""i"":1,""x"":0,""y"":26880,""w"":28160,""h"":26880}]"
130981-2,2,48048,60160,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":30720},{""i"":1,""x"":3840,""y"":30720,""w"":28160,""h"":29440}]"
131461-2,2,34339,48640,"[{""i"":0,""x"":0,""y"":0,""w"":19200,""h"":23040},{""i"":1,""x"":0,""y"":29440,""w"":20480,""h"":19200}]"
131844,2,42055,52480,"[{""i"":0,""x"":0,""y"":26880,""w"":23040,""h"":25600},{""i"":1,""x"":0,""y"":0,""w"":24320,""h"":24320}]"
132148,3,43068,90880,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":21760},{""i"":1,""x"":0,""y"":46080,""w"":28160,""h"":23040},{""i"":2,""x"":10240,""y"":83200,""w"":10240,""h"":7680}]"
133681,2,48472,52480,"[{""i"":0,""x"":2560,""y"":0,""w"":34560,""h"":26880},{""i"":1,""x"":0,""y"":25600,""w"":32000,""h"":26880}]"
133738-2,2,51001,56320,"[{""i"":0,""x"":0,""y"":0,""w"":28160,""h"":25600},{""i"":1,""x"":0,""y"":28160,""w"":26880,""h"":28160}]"
134888-2,2,45557,90880,"[{""i"":0,""x"":0,""y"":0,""w"":3840,""h"":2560},{""i"":1,""x"":1280,""y"":49920,""w"":37120,""h"":40960}]"
135132-2,4,50120,34560,"[{""i"":0,""x"":0,""y"":1280,""w"":20480,""h"":17920},{""i"":1,""x"":1280,""y"":20480,""w"":12800,""h"":11520},{""i"":2,""x"":17920,""y"":21760,""w"":19200,""h"":12800},{""i"":3,""x"":21760,""y"":0,""w"":17920,""h"":21760}]"
135146,2,40911,46080,"[{""i"":0,""x"":0,""y"":25600,""w"":17920,""h"":20480},{""i"":1,""x"":1280,""y"":0,""w"":21760,""h"":21760}]"
135353,2,49654,55040,"[{""i"":0,""x"":0,""y"":0,""w"":33280,""h"":26880},{""i"":1,""x"":2560,""y"":28160,""w"":33280,""h"":26880}]"
135492,2,42072,48640,"[{""i"":0,""x"":0,""y"":24320,""w"":28160,""h"":24320},{""i"":1,""x"":1280,""y"":0,""w"":29440,""h"":24320}]"
135924,2,35405,48640,"[{""i"":0,""x"":2560,""y"":0,""w"":24320,""h"":21760},{""i"":1,""x"":0,""y"":26880,""w"":24320,""h"":21760}]"
136247,2,38786,55040,"[{""i"":0,""x"":0,""y"":29440,""w"":25600,""h"":25600},{""i"":1,""x"":2560,""y"":0,""w"":26880,""h"":25600}]"
136248,2,38786,55040,"[{""i"":0,""x"":0,""y"":29440,""w"":25600,""h"":25600},{""i"":1,""x"":2560,""y"":0,""w"":26880,""h"":25600}]"
